Carimbo de data/hora,Nickname,TAG,Data:,Horário do INÍCIO da instrução:,Curso aplicado: ,Nick(s) do(s) aluno(s) presente(s):,Nick(s) do(s) aluno(s) aprovado(s):,Comentários:,Pontos:,,Nickname,Pontos:,CFSd,CFC1,CFC2,CAP,CODE,,,,,,,,,,
09/11/2018 12:26:16,-Desconhecido-_,[Dco],09/11/2018,12:07:00,Curso de Formação de Cabos (Parte 1) (CFC1),Ex.Military.BAN,,O aluno errou duas questões.,2,,,,,Marcus.28.,Curso de Formação de Cabos (Parte 2) (CFC2),,,,,,,,,,,,
09/11/2018 13:09:06,-Desconhecido-_,[Dco],09/11/2018,12:48:00,Curso de Formação de Cabos (Parte 2) (CFC2),lets-piriguets,,A Cabo saiu no meio da aula.,1,,,,,,1,,,,,,,,,,,,
07/11/2018 03:22:43,-Lara1,[Lr1],07/11/2018,03:06:00,Curso de Formação de Soldados (CFSd),New_Prof_BR,New_Prof_BR,Ótima aula.,2,,,,,Nickname,Curso aplicado: ,,,,,,,,,,,,
04/11/2018 14:52:42,-LLuz,[Luz],04/11/2018,14:24:00,Curso de Formação de Cabos (Parte 1) (CFC1),florasilvasouza,florasilvasouza,Ótima aula!,2,,,,,Marcus.28.,Curso de Aperfeiçoamento de Praças (CAP),,,,,,,,,,,,
04/11/2018 15:11:35,-LLuz,[Luz],04/11/2018,14:53:00,Curso de Formação de Cabos (Parte 2) (CFC2),florasilvasouza,florasilvasouza,Ótima aula!,1,,,,,,0,,,,,,,,,,,,
05/11/2018 19:08:35,-LLuz,[Luz],05/11/2018,18:34:00,Curso de Formação de Soldados (CFSd),FoxDaviGamer  ySdz ,FoxDaviGamer  ySdz ,Ótima Aula!,2,,,,,,,,,,,,,,,,,,
06/11/2018 19:18:57,-LLuz,[Luz],06/11/2018,18:49:00,Curso de Formação de Soldados (CFSd),Sr_PaxocaXD e JNMIBUI,Sr_PaxocaXD e JNMIBUI,Ótima aula!,2,,,,,,,,,,,,,,,,,,
06/11/2018 20:17:14,-LLuz,[Luz],06/11/2018,19:42:00,Curso de Formação de Soldados (CFSd),marcus2982 kauanny399 PedrolHenrique,marcus2982 kauanny399 PedrolHenrique,Ótima aula!,2,,"ATENÇÃO! HÁ CÉLULAS INVISÍVEIS, FAVOR COPIAR TODO O QUADRADO PARA OUTRA PLANILHA NA META SEMANAL, CASO CONTRÁRIO IRÁ FALTAR CÁLCULOS.",,,,,,,,,,,,,,,,"Criado por fupamaster, Nov 2017."
08/11/2018 13:25:00,-LLuz,[Luz],08/11/2018,13:03:00,Curso de Formação de Cabos (Parte 1) (CFC1),-LucaVaz ,-LucaVaz ,Ótima aula!,2,,,,,,,,,,,,,,,,,,
08/11/2018 13:33:15,-LLuz,[Luz],08/11/2018,13:25:00,Curso de Formação de Cabos (Parte 2) (CFC2),-LucaVaz ,-LucaVaz ,Ótima aula!,1,,,,,,,,,,,,,,,,,,
08/11/2018 16:58:58,-LLuz,[Luz],08/11/2018,16:42:00,Curso de Formação de Cabos (Parte 1) (CFC1),",Sempy",",Sempy",Ótima aula!,2,,,,,,,,,,,,,,,,,,
08/11/2018 17:04:34,-LLuz,[Luz],08/11/2018,14:59:00,Curso de Formação de Cabos (Parte 2) (CFC2),",Sempy",",Sempy",Ótima aula!,1,,,,,,,,,,,,,,,,,,
08/11/2018 22:45:41,-LLuz,[Luz],08/11/2018,22:25:00,Curso de Formação de Cabos (Parte 1) (CFC1),Gabe-.- ,Gabe-.- ,Ótima aula!,2,,,,,,,,,,,,,,,,,,
09/11/2018 14:30:19,-LLuz,[Luz],09/11/2018,13:06:00,Curso de Formação de Soldados (CFSd),aninja24 Always77,aninja24 Always77,Ótima aula!,2,,,,,,,,,,,,,,,,,,
10/11/2018 13:49:13,-LLuz,[Luz],10/11/2018,13:22:00,Curso de Formação de Cabos (Parte 1) (CFC1), SrKauaLocs samuel97460 , SrKauaLocs samuel97460 ,Ótima aula!,2,,,,,,,,,,,,,,,,,,
10/11/2018 14:18:10,-LLuz,[Luz],10/11/2018,13:49:00,Curso de Formação de Cabos (Parte 2) (CFC2),samuel97460 SrKauaLocs ,samuel97460 SrKauaLocs ,Ótima aula!,1,,,,,,,,,,,,,,,,,,
08/11/2018 15:43:09,-LLuz ,[Luz],08/11/2018,14:33:00,Curso de Formação de Soldados (CFSd),miqueias5415 Gabbe_Fairy,miqueias5415 Gabbe_Fairy,Ótima aula!,2,,,,,,,,,,,,,,,,,,
05/11/2018 14:55:37,-Smithy,[SmT],05/11/2018,14:37:00,Curso de Formação de Soldados (CFSd),yasminww1 / maicon23484,,Ambos foram reprovados.,2,,,,,,,,,,,,,,,,,,
05/11/2018 20:17:27,-Smithy,[SmT],05/11/2018,20:13:00,Curso de Formação de Cabos (Parte 2) (CFC2),.:RafaelPereira,,Caiu durante a aula,1,,,,,,,,,,,,,,,,,,
07/11/2018 18:00:37,-Smithy,[SmT],07/11/2018,17:50:00,Curso de Formação de Soldados (CFSd),sarah30652,,,2,,,,,,,,,,,,,,,,,,
08/11/2018 18:22:58,-Smithy,[SmT],08/11/2018,18:07:00,Curso de Formação de Soldados (CFSd),porpetinha2,porpetinha2,,2,,,,,,,,,,,,,,,,,,
08/11/2018 18:57:16,-Smithy,[SmT],08/11/2018,18:40:00,Curso de Formação de Cabos (Parte 2) (CFC2),lets-piriguetes,,,1,,,,,,,,,,,,,,,,,,
08/11/2018 19:13:42,-Smithy,[SmT],08/11/2018,19:02:00,Curso de Aperfeiçoamento de Praças (CAP),MC-DIMENORO,MC-DIMENORO,,1,,,,,,,,,,,,,,,,,,
06/11/2018 14:34:49,-V9,[V9I],06/11/2018,14:19:00,Curso de Formação de Cabos (Parte 1) (CFC1),RicardooCesar ,RicardooCesar ,Ótima aula.,2,,,,,,,,,,,,,,,,,,
06/11/2018 16:21:23,-V9,[V9I],06/11/2018,15:54:00,Curso de Formação de Soldados (CFSd),"charappf54  , bawnn e Mr. Boltt ",bawnn e Mr. Boltt ,Ótima aula.,2,,,,,,,,,,,,,,,,,,
06/11/2018 22:27:02,-V9,[V9I],06/11/2018,21:51:00,Curso de Formação de Soldados (CFSd),rockesrrael  e wenderso0716 ,wenderso0716 ,Boa Aula.,2,,,,,,,,,,,,,,,,,,
07/11/2018 01:15:25,-V9,[V9I],07/11/2018,00:47:00,Curso de Formação de Soldados (CFSd),xLulindo2018x / LaylaIndie011 / JACKBLACK1708 ,JACKBLACK1708  e xLulindo2018x,Boa Aula.,2,,,,,,,,,,,,,,,,,,
07/11/2018 13:15:15,-V9,[V9I],07/11/2018,13:01:00,Curso de Formação de Soldados (CFSd),cad.2  e filipe6673 ,cad.2 ,Boa aula.,2,,,,,,,,,,,,,,,,,,
08/11/2018 00:34:29,-V9,[V9I],08/11/2018,00:02:00,Curso de Formação de Cabos (Parte 1) (CFC1),Apolozinn ,Apolozinn ,Boa Aula.,2,,,,,,,,,,,,,,,,,,
08/11/2018 01:11:01,-V9,[V9I] ,08/11/2018,00:34:00,Curso de Formação de Cabos (Parte 2) (CFC2),Apolozinn ,Apolozinn ,Boa Aula.,1,,,,,,,,,,,,,,,,,,
08/11/2018 10:53:21,-V9,[V9I] ,08/11/2018,00:34:00,Curso de Formação de Cabos (Parte 2) (CFC2),Apolozinn ,Apolozinn ,Boa Aula.,1,,,,,,,,,,,,,,,,,,
08/11/2018 13:05:11,-V9,[V9I],08/11/2018,12:48:00,Curso de Formação de Cabos (Parte 1) (CFC1),repolho434 ,repolho434 ,Boa Aula.,2,,,,,,,,,,,,,,,,,,
08/11/2018 13:16:53,-V9,[V9I],08/11/2018,13:06:00,Curso de Formação de Cabos (Parte 2) (CFC2),repolho434 ,repolho434 ,Boa Aula.,1,,,,,,,,,,,,,,,,,,
09/11/2018 01:21:11,-V9,[V9I],09/11/2018,00:51:00,Curso de Formação de Soldados (CFSd),DraloYT05  / guilhermita / giovanny717 ,giovanny717  e DraloYT05,Boa Aula.,2,,,,,,,,,,,,,,,,,,
10/11/2018 23:19:42,-V9,[V9I],10/11/2018,22:43:00,Curso de Formação de Soldados (CFSd),camilly2063  e bruno.250783 ,bruno.250783 ,Boa Aula.,2,,,,,,,,,,,,,,,,,,
09/11/2018 18:47:52,!Pedro-Lucas,[PDL],09/11/2018,18:36:00,Curso de Formação de Soldados (CFSd),_Three,_Three,Aula tranquila.,2,,,,,,,,,,,,,,,,,,
09/11/2018 21:29:12,!Pedro-Lucas,[PDL],09/11/2018,21:00:00,Curso de Formação de Soldados (CFSd),felipeaug265,felipeaug265,Boa aula.,2,,,,,,,,,,,,,,,,,,
04/11/2018 15:01:40,.:ja:ck:.,[JCK],04/11/2018,15:41:00,Curso de Formação de Cabos (Parte 1) (CFC1),LoucoDeCatuaba ,LoucoDeCatuaba ,Exelente cabo muito atencioso a aula,2,,,,,,,,,,,,,,,,,,
04/11/2018 15:16:01,.:ja:ck:.,[JCK],04/11/2018,15:15:00,Curso de Formação de Cabos (Parte 2) (CFC2),LoucoDeCatuaba ,LoucoDeCatuaba ,Nada a ser comentado.,1,,,,,,,,,,,,,,,,,,
04/11/2018 17:18:07,.:ja:ck:.,[JCK],04/11/2018,16:14:00,Curso de Formação de Soldados (CFSd),andre20679  e  jully457,,Ambos reprovados na segunda questão,2,,,,,,,,,,,,,,,,,,
04/11/2018 18:08:53,.:ja:ck:.,[JCK],04/11/2018,17:29:00,Curso de Formação de Soldados (CFSd),".,Bacon  e  Ennyllaperes ",".,Bacon","O recruta .,Bacon foi ótimo muito atencioso a outra recruta caio por causa da internet e não conseguiu retornar",2,,,,,,,,,,,,,,,,,,
04/11/2018 19:36:07,.:ja:ck:.,[JCK],04/11/2018,19:00:00,Curso de Formação de Cabos (Parte 1) (CFC1),pietro207 ,pietro207 ,Excelente aulo também muito atencioso.,2,,,,,,,,,,,,,,,,,,
08/11/2018 17:21:12,.:ja:ck:.,[JCK],08/11/2018,17:09:00,Curso de Formação de Cabos (Parte 2) (CFC2),Fernaks ,Fernaks ,Um dos melhores policiais que já tive o prazer de dar uma aula ótimo aluno.,1,,,,,,,,,,,,,,,,,,
08/11/2018 18:31:09,.:ja:ck:.,[JCK],08/11/2018,17:59:00,Curso de Formação de Cabos (Parte 2) (CFC2),matheus82698,matheus82698,Excelente aluno muita atenção na aula apenas teve dificuldade em mandar a TAG do último promovido,1,,,,,,,,,,,,,,,,,,
09/11/2018 13:42:48,.:ja:ck:.,[JCK],09/11/2018,13:19:00,Curso de Formação de Cabos (Parte 2) (CFC2),_-uzumaki-_ ,_-uzumaki-_ ,Nada a ser comentado sobre a aplicação de CFC parte2,1,,,,,,,,,,,,,,,,,,
09/11/2018 14:42:54,.:ja:ck:.,[JCK],09/11/2018,14:24:00,Curso de Formação de Cabos (Parte 2) (CFC2),Eminadio,Eminadio,Nada a comentar sobre a aula aplicada ao cabo,1,,,,,,,,,,,,,,,,,,
09/11/2018 15:59:14,.:ja:ck:.,[JCK],09/11/2018,13:30:00,Curso de Formação de Soldados (CFSd),"japakaugo , rodrigomo316  e japakaugo ",,Ambos reprovados nas perguntas mais basicas,2,,,,,,,,,,,,,,,,,,
09/11/2018 16:17:19,.:ja:ck:.,[JCK],09/11/2018,16:06:00,Curso de Formação de Cabos (Parte 2) (CFC2),GKOGamer123,,O cabo caiu durante a aula.,1,,,,,,,,,,,,,,,,,,
09/11/2018 18:15:58,.:ja:ck:.,[JCK],09/11/2018,16:45:00,Curso de Formação de Soldados (CFSd),telele11  e    MarcosSolza009,,Infantis e foram reprovados por baderna.,2,,,,,,,,,,,,,,,,,,
09/11/2018 19:11:16,.:ja:ck:.,[JCK],09/11/2018,17:41:00,Curso de Formação de Cabos (Parte 1) (CFC1),JoseAngZR ,JoseAngZR ,,2,,,,,,,,,,,,,,,,,,
04/11/2018 23:05:20,.?@.Caua.@?.,[Cau],04/11/2018,22:00:00,Curso de Formação de Soldados (CFSd),_NatsuBR/murillo8561/giovannime38/Whinster/clarice424,_NatsuBR/murillo8561,"Instrução complicada, mas deu frutos.",2,,,,,,,,,,,,,,,,,,
06/11/2018 21:16:14,.?@.Caua.@?.,[Cau],06/11/2018,20:15:00,Curso de Formação de Soldados (CFSd),wenderso0716/vovana08,wenderso0716/vovana08,Ótima instrução.,2,,,,,,,,,,,,,,,,,,
07/11/2018 23:41:25,.?@.Caua.@?.,[Cau,07/11/2018,23:05:00,Curso de Formação de Soldados (CFSd),MCIgorhungriay/yTowakOff,yTowakOff,"Instrução complicada, porém, boa.",2,,,,,,,,,,,,,,,,,,
08/11/2018 17:35:36,.?@.Caua.@?.,[Cau],08/11/2018,17:35:00,Curso de Formação de Cabos (Parte 2) (CFC2),henriqu55238,henriqu55238,Ótima instrução.,1,,,,,,,,,,,,,,,,,,
10/11/2018 21:46:05,.?@.Caua.@?.,[Cau],10/11/2018,20:30:00,Curso de Formação de Cabos (Parte 2) (CFC2),Snoopiz,Snoopiz,"Complicada, mas boa instrução.",1,,,,,,,,,,,,,,,,,,
10/11/2018 21:46:59,.?@.Caua.@?.,[Cau],10/11/2018,20:30:00,Curso de Formação de Cabos (Parte 2) (CFC2),zZEdos@,zZEdos@,"Complicada instrução, mas com frutos.",1,,,,,,,,,,,,,,,,,,
04/11/2018 14:25:38,..:Legolas:..,[Leg],04/11/2018,13:49:00,Curso de Formação de Soldados (CFSd),PedroGraham12 - UmFimFeliz - TADEOG4 - mariianaa52,UmFimFeliz,"TADEO e mariianaa sairam da aula antes do teste, já o Pedro reprovou, mesmo com suas várias dicas dadas e chances",2,,,,,,,,,,,,,,,,,,
04/11/2018 11:10:13,.Keepy,[Kpy],04/11/2018,10:48:00,Curso de Formação de Soldados (CFSd),lucash30 / rafael5647384,lucash30 / rafael5647384,Os alunos concluíram o curso com êxito.,2,,,,,,,,,,,,,,,,,,
04/11/2018 19:19:51,.Keepy,[Kpy],04/11/2018,18:54:00,Curso de Formação de Soldados (CFSd),Camilinha1245 / fabiane6999,fabiane6999,A aluna concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
04/11/2018 19:41:40,.Keepy,[Kpy],04/11/2018,19:35:00,Curso de Aperfeiçoamento de Praças (CAP),bdiogosilvad,bdiogosilvad,O aluno concluiu o curso com êxito.,1,,,,,,,,,,,,,,,,,,
05/11/2018 12:20:09,.Keepy,[Kpy],05/11/2018,00:14:00,Curso de Formação de Soldados (CFSd),Execultei,Execultei,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
05/11/2018 23:15:26,.Keepy,[Kpy],05/11/2018,22:52:00,Curso de Formação de Soldados (CFSd),Fargone / GoodJogador,Fargone / GoodJogador,Os alunos concluíram o curso com êxito.,2,,,,,,,,,,,,,,,,,,
06/11/2018 13:00:14,.Keepy,[Kpy],06/11/2018,00:47:00,Curso de Formação de Cabos (Parte 1) (CFC1),ZikaarthurNipon ,ZikaarthurNipon ,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
07/11/2018 19:15:13,.Keepy,[Kpy],06/11/2018,18:32:00,Curso de Formação de Soldados (CFSd),digite-aqui... / tchaumeyume / mbg210919,digite-aqui... / tchaumeyume / mbg210919,Os alunos concluíram o curso com êxito.,2,,,,,,,,,,,,,,,,,,
08/11/2018 19:21:09,.Keepy,[Kpy],06/11/2018,18:10:00,Curso de Formação de Soldados (CFSd),-?dodo?-,-?dodo?-,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
08/11/2018 20:47:50,.Keepy,[Kpy],06/11/2018,19:32:00,Curso de Formação de Cabos (Parte 1) (CFC1),LukzaoThunay ,LukzaoThunay ,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
09/11/2018 01:12:15,.Keepy,[Kpy],08/11/2018,23:46:00,Curso de Formação de Soldados (CFSd),victorzinbm14 / thainaele169,victorzinbm14,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
09/11/2018 12:14:49,.Keepy,[Kpy],09/11/2018,11:01:00,Curso de Formação de Soldados (CFSd),Alinesilveira12 ,Alinesilveira12 ,A aluna concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
09/11/2018 14:04:04,.Keepy,[Kpy],09/11/2018,12:53:00,Curso de Formação de Cabos (Parte 1) (CFC1),.@.Ryu.@. ,.@.Ryu.@. ,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
09/11/2018 14:20:50,.Keepy,[Kpy],09/11/2018,13:09:00,Curso de Formação de Cabos (Parte 2) (CFC2),.@.Ryu.@. ,.@.Ryu.@. ,O aluno concluiu o curso com êxito.,1,,,,,,,,,,,,,,,,,,
10/11/2018 00:30:13,.Keepy,[Kpy],09/11/2018,23:14:00,Curso de Formação de Cabos (Parte 1) (CFC1),Otavio_Souza,Otavio_Souza,O aluno concluiu o curso com êxito.,2,,,,,,,,,,,,,,,,,,
10/11/2018 00:38:09,.Keepy,[Kpy],09/11/2018,23:30:00,Curso de Formação de Cabos (Parte 2) (CFC2),Otavio_Souza,Otavio_Souza,O aluno concluiu o curso com êxito.,1,,,,,,,,,,,,,,,,,,
04/11/2018 20:24:38,.SeuDocinho.,[Seu],04/11/2018,20:01:00,Curso de Formação de Cabos (Parte 2) (CFC2),..:Ratupid:.. ,..:Ratupid:.. ,,1,,,,,,,,,,,,,,,,,,
04/11/2018 20:45:58,.SeuDocinho.,[Seu],04/11/2018,20:27:00,Curso de Aperfeiçoamento de Praças (CAP),Sr.WevertonJr! ,Sr.WevertonJr! ,,1,,,,,,,,,,,,,,,,,,
04/11/2018 21:13:35,.SeuDocinho.,[Seu],04/11/2018,20:57:00,Curso de Formação de Soldados (CFSd),_GIFT_ catarina7022 joaolucasof,catarina7022 joaolucasof,,2,,,,,,,,,,,,,,,,,,
05/11/2018 05:09:31,.SeuDocinho.,[Seu],05/11/2018,03:46:00,Curso de Formação de Soldados (CFSd),abnner5,,,2,,,,,,,,,,,,,,,,,,
05/11/2018 05:13:14,.SeuDocinho.,[Seu],05/11/2018,04:27:00,Curso de Formação de Soldados (CFSd),abnner5 soobaby UnicornioDarkk carlos7099 caio74255,abnner5 soobaby UnicornioDarkk ,,2,,,,,,,,,,,,,,,,,,
05/11/2018 17:54:49,.SeuDocinho.,[Seu],05/11/2018,17:40:00,Curso de Aperfeiçoamento de Praças (CAP),Maik1555,Maik1555,,1,,,,,,,,,,,,,,,,,,
08/11/2018 01:12:21,.SeuDocinho.,[Seu],08/11/2018,00:33:00,Curso de Formação de Soldados (CFSd),annonymous_1404  marcospazzini DraloYT05,marcospazzini ,,2,,,,,,,,,,,,,,,,,,
08/11/2018 03:23:58,.SeuDocinho.,[Seu],08/11/2018,03:13:00,Curso de Formação de Soldados (CFSd),ArnoldShakis,,,2,,,,,,,,,,,,,,,,,,
07/11/2018 17:53:45,alexand65827,[axd],07/11/2018,17:37:00,Curso de Formação de Soldados (CFSd),mbg210919,,Nã conseguiu responder a quantidade necessaria.,2,,,,,,,,,,,,,,,,,,
10/11/2018 14:59:04,alexand65827,[axd],10/11/2018,14:45:00,Curso de Formação de Cabos (Parte 2) (CFC2),Snoopiz,,Tive de ir a reuniao. ,1,,,,,,,,,,,,,,,,,,
06/11/2018 22:33:26,AlexandreDio123,[123],06/11/2018,22:17:00,Curso de Formação de Soldados (CFSd),Italus19,Italus19,,2,,,,,,,,,,,,,,,,,,
08/11/2018 21:51:27,AlexandreDio123,[123],08/11/2018,21:37:00,Curso de Formação de Soldados (CFSd),aliceperessodre,,A recruta errou as perguntas e foi desrespeitosa.,2,,,,,,,,,,,,,,,,,,
04/11/2018 13:29:07,AlphaX0,[AX0],04/11/2018,11:12:00,Curso de Formação de Soldados (CFSd),XXXAmaterasu,XXXAmaterasu,Demorei um pouco para postar a aula.,2,,,,,,,,,,,,,,,,,,
06/11/2018 20:03:40,AlphaX0,[AX0],06/11/2018,19:20:00,Curso de Formação de Soldados (CFSd),julia11767/Kingsla /Sr_PaxocaXD ,julia11767/Kingsla /Sr_PaxocaXD ,Bons alunos.,2,,,,,,,,,,,,,,,,,,
07/11/2018 15:35:24,AlphaX0,[AX0],07/11/2018,15:04:00,Curso de Formação de Soldados (CFSd),Shernobiu,Shernobiu,"Muito bom aluno, ficou meio perdido no começo, mas conseguimos voltar.",2,,,,,,,,,,,,,,,,,,
08/11/2018 20:33:36,AlphaX0,[AX0],08/11/2018,19:40:00,Curso de Formação de Soldados (CFSd),chiclete1315 StrangerSky007,chiclete1315 StrangerSky007,Ótimas alunas!,2,,,,,,,,,,,,,,,,,,
04/11/2018 18:30:34,andreyfilip.ban,[And],04/11/2018,18:00:00,Curso de Formação de Soldados (CFSd),xfrancx0924 Camilinha1245 ,,"A aula foi boa, teve 1 aprovado porém o mesmo saiu da sala de aula sendo assim não concluindo o curso",2,,,,,,,,,,,,,,,,,,
05/11/2018 21:11:55,andreyfilip.ban,[And],05/11/2018,21:05:00,Curso de Formação de Soldados (CFSd),ewerton5101,,"Boa, porém o recruta saiu da sala de aula.",2,,,,,,,,,,,,,,,,,,
05/11/2018 23:01:42,andreyfilip.ban,[And],05/11/2018,22:45:00,Curso de Aperfeiçoamento de Praças (CAP),WailingTen ,WailingTen ,Ótima aula.,1,,,,,,,,,,,,,,,,,,
06/11/2018 11:04:46,andreyfilip.ban,[And],06/11/2018,11:00:00,Curso de Formação de Soldados (CFSd),bruno26994 ,,"Foi boa, porém o recruta saiu da sala de aula.",2,,,,,,,,,,,,,,,,,,
06/11/2018 12:00:47,andreyfilip.ban,[And],06/11/2018,11:22:00,Curso de Formação de Soldados (CFSd),BOOMBRILLBR Rodriguezgames Sr_PaxocaXD miguelitotel ,BOOMBRILLBR,"Foi boa, porém os outros recrutas sairam da sala.",2,,,,,,,,,,,,,,,,,,
06/11/2018 21:32:07,andreyfilip.ban,[And],06/11/2018,21:00:00,Curso de Formação de Soldados (CFSd),deborah65026 ,,"Foi boa, porém o recruta não anotou nada e teve dificuldades para responder.",2,,,,,,,,,,,,,,,,,,
06/11/2018 21:53:16,andreyfilip.ban,[And],06/11/2018,21:42:00,Curso de Formação de Cabos (Parte 1) (CFC1),-Queijp ,-Queijp ,Boa.,2,,,,,,,,,,,,,,,,,,
06/11/2018 22:00:00,andreyfilip.ban,[And],06/11/2018,21:55:00,Curso de Formação de Cabos (Parte 2) (CFC2),-Queijp ,-Queijp ,"Boa, o cabo era experiente.",1,,,,,,,,,,,,,,,,,,
06/11/2018 23:07:55,andreyfilip.ban,[And],06/11/2018,22:54:00,Curso de Formação de Soldados (CFSd),bless.98 .:VelhoteRCC:. ryanbr-games rodrigo43888 ,ryanbr-games rodrigo43888 ,"Boa, porém 1 saiu e outro me xingou e saiu posteriormente.",2,,,,,,,,,,,,,,,,,,
08/11/2018 18:47:01,andreyfilip.ban,[And],08/11/2018,18:24:00,Curso de Formação de Cabos (Parte 1) (CFC1),_-uzumaki-_ /  Tarcisio.Becciu ,_-uzumaki-_  /  Tarcisio.Becciu ,"Boa, foram ótimos alunos.",2,,,,,,,,,,,,,,,,,,
08/11/2018 19:05:27,andreyfilip.ban,[And],08/11/2018,18:47:00,Curso de Formação de Cabos (Parte 2) (CFC2),Tarcisio.Becciu ,Tarcisio.Becciu ,"Bom aluno, ótima aula.",1,,,,,,,,,,,,,,,,,,
09/11/2018 19:08:13,andreyfilip.ban,[And],09/11/2018,18:20:00,Curso de Formação de Soldados (CFSd),marciojoaop lee8800 brenojk9 ,marciojoaop lee8800 brenojk9 ,"Ótimos alunos, ótima aula",2,,,,,,,,,,,,,,,,,,
10/11/2018 21:18:31,andreyfilip.ban,[And],10/11/2018,21:03:00,Curso de Aperfeiçoamento de Praças (CAP),CapNeo ,CapNeo ,Ótimo aluno.,1,,,,,,,,,,,,,,,,,,
08/11/2018 22:38:03,ArthurMilitar_,[AmT],08/11/2018,21:15:00,Curso de Formação de Soldados (CFSd), Bern@rdo13 / MusicAngelDJ / MadameM45 / Pedrocheroso111,Bern@rdo13 / MusicAngelDJ,Ótima aula.,2,,,,,,,,,,,,,,,,,,
08/11/2018 23:22:14,ArthurMilitar_,[AmT],08/11/2018,21:58:00,Curso de Formação de Cabos (Parte 1) (CFC1),Yukya... / kauanny399,Yukya... / kauanny399,Ótimo.,2,,,,,,,,,,,,,,,,,,
10/11/2018 15:00:13,ArthurMilitar_,[AmT],10/11/2018,13:34:00,Curso de Formação de Soldados (CFSd),Skala1 / robson21648,Skala1 / robson21648,,2,,,,,,,,,,,,,,,,,,
04/11/2018 21:40:29,BIGtrilhonariob,[BIt],04/11/2018,21:25:00,Curso de Formação de Cabos (Parte 1) (CFC1),Thomas7444,,"Foi requisitado a aplicação do CFC novamente pro cabo, porém ele caiu no meio da aula",2,,,,,,,,,,,,,,,,,,
